FIPS,AlGore_Dem_2000,pct_dem_2000,GeorgeWBush_Rep_2000,pct_rep_2000,RalphNader_Green_2000,pct_green_2000,Other_2000,pct_other_2000,totalvotes_2000,JohnKerry_Dem_2004,pct_dem_2004,GeorgeWBush_Rep_2004,pct_rep_2004,Other_2004,pct_other_2004,totalvotes_2004,Obama_Dem_2008,pct_dem_2008,McCain_Rep_2008,pct_rep_2008,Other_2008,pct_other_2008,totalvotes_2008,Obama_Dem_2012,pct_dem_2012,Romney_Rep_2012,pct_rep_2012,Other_2012,pct_other_2012,totalvotes_2012,Clinton_Dem_2016,pct_dem_2016,Trump_Rep_2016,pct_rep_2016,Other_2016,pct_other_2016,totalvotes2016,dem_2020,pct_dem_2020,gop_2020,pct_gop_2020,total_votes_2020
38095,410,0.344827586,694,0.583683768,31,0.02607233,54,0.045416316,1189,606,0.4356578,754,0.542056075,31,0.022286125,1391,621,0.518796992,536,0.447786132,40,0.033416876,1197,516,0.436548223,623,0.527072758,43,0.036379019,1182,305,0.263612792,733,0.633535004,119,0.102852204,1157,317,0.2704778,828,0.70648462,1172
28087,7537,0.391939678,11404,0.593031721,172,0.008944358,117,0.006084243,19230,7904,0.380952381,12642,0.609311741,202,0.009735878,20748,13209,0.482309125,13994,0.510972359,184,0.006718516,27387,13388,0.492967082,13518,0.497753885,252,0.009279034,27158,11819,0.462130987,13271,0.518905181,485,0.018963832,25575,12913,0.47838327,13699,0.50750196,26993
48013,4322,0.402196166,6231,0.579843663,130,0.012097525,63,0.005862647,10746,4421,0.364889402,7635,0.630158468,60,0.004952129,12116,4415,0.444254377,5462,0.549607567,61,0.006138056,9938,5133,0.403506014,7461,0.586510494,127,0.009983492,12721,4651,0.340159438,8618,0.630293279,404,0.029547283,13673,5865,0.3243019,12020,0.66463917,18085
47035,7644,0.401956145,10994,0.578114319,223,0.01172635,156,0.008203187,19017,8326,0.352289075,15142,0.640687146,166,0.007023779,23634,7889,0.306821717,17436,0.678126945,387,0.015051338,25712,6261,0.24798986,18653,0.738820454,333,0.013189686,25247,5202,0.197344461,20413,0.77439302,745,0.028262519,26360,6728,0.20825209,25167,0.77899528,32307
21195,13611,0.545859234,11005,0.441347504,169,0.006777622,150,0.006015641,24935,14002,0.523048188,12611,0.471087038,157,0.005864774,26770,9525,0.420659807,12655,0.558892373,463,0.020447821,22643,5646,0.238872906,17590,0.744203757,400,0.016923337,23636,4280,0.173525238,19747,0.800608149,638,0.025866613,24665,4862,0.19165878,20279,0.79939294,25368
51007,1754,0.366332498,2947,0.615497076,40,0.008354219,47,0.009816207,4788,1862,0.345006485,3499,0.648323142,36,0.006670372,5397,2488,0.381069076,3970,0.608056364,71,0.01087456,6529,2490,0.360086768,4331,0.626319595,94,0.013593637,6915,2128,0.302272727,4708,0.66875,204,0.028977273,7040,2411,0.30592564,5390,0.68392336,7881
13251,2233,0.473193473,2461,0.521508794,3,0.000635728,22,0.004662005,4719,2534,0.427823738,3360,0.567280095,29,0.004896167,5923,3024,0.466594661,3423,0.528159235,34,0.005246104,6481,2774,0.454754098,3287,0.538852459,39,0.006393443,6100,2300,0.402449694,3305,0.578302712,110,0.019247594,5715,2661,0.40147859,3916,0.59082681,6628
48255,1617,0.375348189,2638,0.612349118,25,0.005803157,28,0.006499536,4308,1543,0.330194736,3114,0.66638134,16,0.003423925,4673,1760,0.38877844,2736,0.604373757,31,0.006847802,4527,1325,0.31660693,2825,0.675029869,35,0.008363202,4185,1145,0.272748928,2965,0.706288709,88,0.020962363,4198,1220,0.23331422,3959,0.75712371,5229
55103,3837,0.462679368,3994,0.481610997,388,0.046786446,74,0.008923188,8293,4501,0.477813163,4836,0.513375796,83,0.00881104,9420,5041,0.596568047,3298,0.390295858,111,0.013136095,8450,4969,0.574119006,3573,0.412824957,113,0.013056037,8655,3577,0.444072005,4023,0.499441341,455,0.056486654,8055,3995,0.44310117,4877,0.54092723,9016
55101,41563,0.467709447,44014,0.495290609,2436,0.027412367,852,0.009587577,88865,48229,0.474839764,52456,0.516456793,884,0.008703443,101569,53408,0.530673079,45954,0.456608573,1280,0.012718348,100642,53008,0.512828451,49347,0.47740993,1009,0.009761619,103364,42512,0.45161633,46611,0.495161102,5010,0.053222568,94133,50154,0.4711906,54475,0.51178586,106441
55099,3413,0.430390921,4136,0.521563682,313,0.039470366,68,0.008575032,7930,4349,0.496291224,4312,0.492068926,102,0.011639849,8763,4559,0.556382719,3461,0.422382231,174,0.02123505,8194,3887,0.491963043,3884,0.491583344,130,0.016453613,7901,2669,0.352250231,4562,0.602085258,346,0.045664511,7577,3132,0.36229035,5394,0.62394446,8645
21115,3251,0.397432763,4783,0.584718826,85,0.010391198,61,0.007457213,8180,3288,0.353396389,5940,0.638435082,76,0.00816853,9304,2407,0.282611248,5948,0.69836797,162,0.019020782,8517,1723,0.190702822,7095,0.785279469,217,0.024017709,9035,1250,0.130589219,8043,0.840263268,279,0.029147514,9572,1607,0.15765722,8446,0.82860786,10193
46007,377,0.33781362,712,0.637992832,NA,0,27,0.024193548,1116,759,0.465644172,833,0.511042945,38,0.023312883,1630,557,0.468460892,614,0.516400336,18,0.015138772,1189,548,0.455527847,626,0.520365752,29,0.024106401,1203,412,0.358572672,666,0.579634465,71,0.061792863,1149,466,0.39391378,694,0.58664411,1183
48151,884,0.472222222,968,0.517094017,11,0.005876068,9,0.004807692,1872,758,0.394175767,1161,0.60374415,4,0.002080083,1923,687,0.385089686,1083,0.60706278,14,0.007847534,1784,512,0.314303254,1094,0.671577655,23,0.014119091,1629,403,0.233082707,1265,0.731636784,61,0.035280509,1729,352,0.19277108,1448,0.79299015,1826
1083,8992,0.380468816,14204,0.600998561,193,0.008166201,245,0.010366421,23634,9126,0.313899494,19702,0.677673443,245,0.008427063,29073,9536,0.284224017,23598,0.703347143,417,0.01242884,33551,9829,0.277193378,25295,0.713359091,335,0.009447531,35459,9468,0.234972949,29067,0.721372909,1759,0.043654142,40294,13510,0.27710548,34337,0.70429093,48754
