zip,neighborhood_name,borough_group,covid_case_count,covid_case_rate,covid_percent_positive,pop_denominator,covid_death_count,covid_death_rate,total_covid_tests,num_peop_test,num_peop_pos,percent_positive,test_rate
10304,New Dorp/Todt Hill,Staten Island,1696,3995.41,11.27,42448.71,182,428.75,15045,9586,1954,20.4,22582.55
10305,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze,Staten Island,1576,3702.92,11.46,42560.99,81,190.32,13749,10347,1868,18.1,24311
10306,Lighthouse Hill/Midland Beach/New Dorp/Oakwood,Staten Island,1820,3390.1,9.73,53685.66,83,154.6,18707,14906,2529,17,27765.33
10307,Tottenville,Staten Island,483,3174.59,10.61,15214.56,15,98.59,4554,3658,608,16.6,24042.76
10308,Great Kills,Staten Island,843,2844.58,9.52,29635.33,29,97.86,8853,7159,1056,14.8,24156.98
10309,Charleston/Prince's Bay/Woodrow,Staten Island,1072,3247.99,10.24,33004.98,33,99.98,10468,8816,1447,16.4,26711.12
10310,Port Richmond/Randall Manor/West Brighton,Staten Island,872,3652.97,10.5,23870.96,35,146.62,8305,6965,1516,21.8,29177.71
10312,Annadale/Rossville,Staten Island,1931,3202.09,10.13,60304.33,60,99.5,19062,16043,2579,16.1,26603.4
10314,Bloomfield/Freshkills Park,Staten Island,3309,3642.9,10.9,90834.29,204,224.58,30361,22039,4451,20.2,24262.86
10451,Concourse/Melrose,Bronx,1898,3977.47,10.89,47718.77,155,324.82,17436,11684,3817,32.7,24485.12
10452,Concourse/Highbridge,Bronx,3061,3973.52,11.77,77035.04,178,231.06,26004,19247,7143,37.1,24984.73
10453,Morris Heights/Mount Hope/University Heights,Bronx,3018,3717.48,11.97,81184.04,170,209.4,25219,18190,6589,36.2,22405.88
10454,Mott Haven/Port Morris,Bronx,1358,3552.8,10.84,38223.41,108,282.55,12524,7884,2689,34.1,20626.1
10455,Mott Haven,Bronx,1591,3772.43,11.47,42174.38,112,265.56,13874,9004,2992,33.2,21349.46
10456,Claremont/Morrisania,Bronx,3075,3290.81,10.5,93441.91,298,318.91,29283,19175,6663,34.7,20520.77
10457,Belmont/Claremont/Mount Hope/Tremont,Bronx,2690,3601.79,11.07,74685.06,190,254.4,24302,16120,5609,34.8,21583.97
10458,Belmont/Fordham University/Kingsbridge,Bronx,2685,3203.76,10.84,83807.74,133,158.7,24758,16097,5215,32.4,19207.06
10459,Charlotte Gardens/Hunts Point,Bronx,1851,3827.97,10.86,48354.56,167,345.37,17038,11089,3709,33.4,22932.69
10460,Charlotte Gardens/Tremont/Van Nest/West Farms,Bronx,2051,3414.17,11.18,60073.25,132,219.73,18339,12670,3940,31.1,21090.92
10461,Morris Park/Pelham Bay/Westchester Square,Bronx,2153,4351.29,11.55,49479.56,141,284.97,18644,14160,3299,23.3,28617.88
10462,Parkchester/Pelham Parkway/Van Nest/Westchester Square,Bronx,2790,3607.8,10.96,77332.41,187,241.81,25456,19391,5006,25.8,25074.87
10463,Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil,Bronx,2465,3457.84,9.31,71287.33,220,308.61,26477,18947,4814,25.4,26578.36
10464,City Island,Bronx,141,3239.03,9.28,4353.16,9,206.75,1520,1158,209,18,26601.37
10465,Country Club/Throgs Neck,Bronx,1755,4078.51,11.26,43030.43,92,213.8,15592,11404,2451,21.5,26502.18
10466,Edenwald/Wakefield,Bronx,2760,3824.48,12.52,72166.65,175,242.49,22036,11928,3828,32.1,16528.41
10467,Allerton/Norwood/Pelham Parkway/Williamsbridge,Bronx,4117,4084.97,11.6,100784,340,337.35,35494,21113,6587,31.2,20948.75
10468,Fordham/Kingsbridge/University Heights,Bronx,3384,4413.08,12.39,76681.12,226,294.73,27318,18521,6667,36,24153.27
10469,Allerton/Baychester/Pelham Gardens/Williamsbridge,Bronx,3409,4767.28,13.26,71508.25,374,523.02,25703,14003,4076,29.1,19582.36
10470,Wakefield/Woodlawn,Bronx,529,3750.77,11.24,14103.75,22,155.99,4707,3078,821,26.7,21823.98
10471,Fieldston/North Riverdale/Riverdale,Bronx,920,4329.97,8.97,21247.28,89,418.88,10252,6036,1185,19.6,28408.35
10472,Soundview,Bronx,2413,3553.03,12.11,67913.94,195,287.13,19926,13560,4539,33.5,19966.45
10473,Castle Hill/Clason Point/Soundview,Bronx,2355,3802.97,11.76,61925.28,142,229.31,20024,13459,3646,27.1,21734.26
10474,Hunts Point,Bronx,357,2870.22,10.08,12438.07,21,168.84,3542,2287,797,34.8,18387.1
10475,Co-op City/Edenwald,Bronx,1963,4487.55,12.57,43743.21,180,411.49,15613,8258,2253,27.3,18878.36
10514,,,,,,,,,,,,,
10543,,,,,,,,,,,,,
10553,,,,,,,,,,,,,
10573,,,,,,,,,,,,,
10701,,,,,,,,,,,,,
10705,,,,,,,,,,,,,
10911,,,,,,,,,,,,,
10965,,,,,,,,,,,,,
10977,,,,,,,,,,,,,
11001,,,,,,,,,,,,,
11004,Bellerose/Douglaston-Little Neck,Queens,689,3672.99,9.19,18758.55,69,367.83,7494,5950,1073,18,31718.86
11021,,,,,,,,,,,,,
11050,,,,,,,,,,,,,
11101,Astoria (South)/Long Island City/Sunnyside,Queens,854,2425.85,5.25,35204.11,39,110.78,16281,12570,2402,19.1,35706.05
11102,Astoria (North),Queens,847,2595.54,6.98,32632.92,85,260.47,12142,10118,2343,23.2,31005.5
11103,Astoria (North)/Astoria (South),Queens,791,2162.05,5.95,36585.65,56,153.07,13294,10977,2394,21.8,30003.57
11104,Sunnyside,Queens,623,2514.56,6.74,24775.7,42,169.52,9241,8816,1953,22.2,35583.25
11105,Ditmars Steinway,Queens,659,1835.92,5.35,35894.88,44,122.58,12308,11312,1958,17.3,31514.24
11106,Astoria (South),Queens,893,2309.62,6.65,38664.4,57,147.42,13427,11105,2426,21.8,28721.51
11109,Long Island City,Queens,74,1459.38,3.18,5070.64,2,39.44,2325,1928,235,12.2,38022.8
11111,,,,,,,,,,,,,
11112,,,,,,,,,,,,,
11201,Brooklyn Heights/DUMBO/Downtown Brooklyn,Brooklyn,933,1531.81,3.28,60908.15,96,157.61,28456,20584,2741,13.3,33795.15
11202,,,,,,,,,,,,,
