postal_code,FIPS,dem,gop,total
KS,20045,39436,16737,57540
KS,20047,267,1127,1413
KS,20049,191,1130,1347
KS,20051,3633,9569,13501
KS,20053,646,2106,2806
KS,20055,4155,7079,11466
KS,20057,2926,5763,8850
KS,20059,3623,8326,12247
KS,20061,3825,5193,9311
KS,20063,163,1256,1433
KS,20065,222,1052,1302
KS,20067,497,1910,2452
KS,20069,337,1871,2240
KS,20071,77,537,629
KS,20073,562,2404,3030
KS,20075,134,684,837
KS,20077,453,2128,2626
KS,20079,6652,10015,17034
KS,20081,261,1103,1383
KS,20083,151,866,1033
KS,20085,1852,4435,6468
KS,20087,3106,6193,9581
KS,20089,211,1369,1608
KS,20091,177925,151280,336277
KS,20093,255,1134,1413
KS,20095,745,3102,3929
